Ambiente,Participante,Tarefa,Duracao_Tarefa,Acertou_tarefa
C,usuario5,12,56017,FALSE
C,usuario5,13,37030,TRUE
C,usuario6,1,49606,TRUE
C,usuario6,2,27672,TRUE
C,usuario6,3,42012,FALSE
C,usuario6,4,43392,TRUE
C,usuario6,5,60320,TRUE
C,usuario6,6,65357,TRUE
C,usuario6,7,27703,TRUE
C,usuario6,8,42033,FALSE
C,usuario6,9,49213,TRUE
C,usuario6,10,133858,TRUE
C,usuario6,11,48592,TRUE
C,usuario6,12,58613,TRUE
C,usuario6,13,20889,TRUE
C,usuario7,1,83193,TRUE
C,usuario7,2,30732,TRUE
C,usuario7,3,123615,TRUE
C,usuario7,4,95956,TRUE
C,usuario7,5,108084,TRUE
C,usuario7,6,180064,TRUE
C,usuario7,7,51929,TRUE
C,usuario7,8,76954,TRUE
C,usuario7,9,63821,TRUE
C,usuario7,10,81919,TRUE
C,usuario7,11,80230,TRUE
C,usuario7,12,241860,FALSE
C,usuario7,13,22257,TRUE
C,usuario8,1,58486,TRUE
C,usuario8,2,16706,TRUE
C,usuario8,3,27812,FALSE
C,usuario8,4,77050,TRUE
C,usuario8,5,79575,TRUE
C,usuario8,6,57007,TRUE
C,usuario8,7,44541,TRUE
C,usuario8,8,27752,TRUE
C,usuario8,9,34992,TRUE
C,usuario8,10,36706,TRUE
C,usuario8,11,27654,TRUE
C,usuario8,12,41930,FALSE
C,usuario8,13,19870,TRUE
C,usuario9,1,53256,FALSE
C,usuario9,2,8237,TRUE
C,usuario9,3,31433,FALSE
C,usuario9,4,32451,TRUE
C,usuario9,5,103454,TRUE
C,usuario9,6,43718,TRUE
C,usuario9,7,19843,TRUE
C,usuario9,8,22908,TRUE
C,usuario9,9,20908,TRUE
C,usuario9,10,133382,TRUE
C,usuario9,11,29655,TRUE
C,usuario9,12,38027,FALSE
C,usuario9,13,34329,TRUE
C,usuario10,1,50986,TRUE
C,usuario10,2,52505,TRUE
C,usuario10,3,59844,TRUE
C,usuario10,4,47546,TRUE
C,usuario10,5,73238,TRUE
C,usuario10,6,94018,TRUE
C,usuario10,7,34939,TRUE
C,usuario10,8,38767,TRUE
C,usuario10,9,43295,TRUE
C,usuario10,10,61983,TRUE
C,usuario10,11,49904,TRUE
C,usuario10,12,64841,FALSE
C,usuario10,13,17949,TRUE
C,usuario11,1,96939,TRUE
